puzzle_id,fen,key_moves,mate_in,rating,solution
vQUVX,1r4k1/5pp1/p1R4p/3Q4/3P4/3KPb2/5q2/2R5 w - - 5 37,c6c8,4,1159,c6c8 b8c8 c1c8 g8h7 d5f5 g7g6 f5f7
hXzn0,5Q2/p5pk/2pp3p/4b3/4P3/5P1q/PP3P2/R3R1K1 b - - 3 23,e5h2,4,1755,e5h2 g1h1 h2g3 h1g1 h3h2 g1f1 h2f2
sphcM,1R6/6pk/b7/5p1p/5P2/5N1P/r2r4/2R4K w - - 0 39,f3g5,4,2321,f3g5 h7h6 b8h8 h6g6 c1c6 d2d6 c6d6
V3Kre,2kr3r/Qp3p2/2p3qp/8/NP3n2/P4N2/5PPP/4R1K1 w - - 6 26,a4b6,4,2433,a4b6 c8c7 e1e7 c7d6 b6c8 d8c8 a7c5
tQLS9,k7/4R3/2K4p/7r/2P5/5pp1/4p3/8 w - - 0 61,c6b6,4,1588,c6b6 e2e1q e7e1 h5c5 e1e8 c5c8 e8c8
w3o7j,7k/R3R2b/1p5p/3P2pN/2P3Pn/1P6/P5r1/5K2 b - - 5 45,h7d3,4,1776,h7d3 f1e1 h4f3 e1d1 g2g1 e7e1 g1e1
KUulG,r4k2/pp1R4/2p4b/B7/4N2r/1P2nP2/1PP5/1K6 w - - 1 27,a5b4,4,1548,a5b4 c6c5 b4c5 f8g8 e4f6 g8h8 d7h7
cDGje,5r2/1kp5/p2p4/2pP2Q1/2P1P3/2N1K2P/PP4R1/5q2 b - - 14 33,f8f3,4,1744,f8f3 e3d2 f1d3 d2c1 f3f1 c3d1 f1d1
4jP4a,8/pp4kp/3b2p1/8/7P/2PB1Q1K/1P4P1/q7 b - - 2 33,a1h1,4,1838,a1h1 h3g4 h7h5 g4g5 h1c1 f3e3 c1e3
Wgoj2,r2q1rk1/pppn2p1/2n1p2p/3pp3/3P2bN/2PBP3/PPQ3PP/R1B2RK1 w - - 0 14,d3h7,4,1509,d3h7 g8h8 h4g6 h8h7 g6f8 h7h8 c2h7
